,browserbite-svm-internal,browserbite-nn-internal,browserbite-dt-internal,browserbite-randomforest-internal,crosscheck-svm-internal,crosscheck-nn-internal,crosscheck-dt-internal,crosscheck-randomforest-internal,image_diff_extractor-cnn-internal
0,0.0597014925373134,0.1641791044776119,0.2388059701492537,0.1940298507462686,0.373134328358209,0.417910447761194,0.4328358208955223,0.4328358208955223,0.13432835820895522
1,0.9615384615384616,0.0384615384615384,0.1153846153846153,0.0384615384615384,0.0769230769230769,0.0384615384615384,0.3846153846153846,0.5,0.07692307692307693
2,0.9130434782608696,0.0869565217391304,0.1521739130434782,0.108695652173913,0.0869565217391304,0.108695652173913,0.391304347826087,0.5217391304347826,0.043478260869565216
3,0.5357142857142857,0.3214285714285714,0.4642857142857143,0.0,0.0357142857142857,0.0714285714285714,0.4642857142857143,0.5714285714285714,0.17857142857142858
4,0.3695652173913043,0.0869565217391304,0.2391304347826087,0.0217391304347826,0.0217391304347826,0.0,0.3695652173913043,0.3478260869565217,0.0
5,0.1348314606741573,0.3820224719101123,0.2584269662921348,0.1910112359550561,0.2921348314606741,0.3595505617977528,0.4606741573033708,0.4157303370786517,0.12359550561797752
6,0.9333333333333332,0.1333333333333333,0.1,0.1,0.0666666666666666,0.0666666666666666,0.5,0.6333333333333333,0.16666666666666666
7,0.782608695652174,0.2391304347826087,0.1521739130434782,0.0869565217391304,0.1956521739130435,0.1304347826086956,0.5217391304347826,0.4347826086956521,0.2391304347826087
8,0.6486486486486487,0.2162162162162162,0.1891891891891892,0.1081081081081081,0.1891891891891892,0.081081081081081,0.4324324324324324,0.4324324324324324,0.2972972972972973
9,0.0675675675675675,0.1486486486486486,0.2297297297297297,0.2162162162162162,0.4189189189189189,0.4594594594594595,0.4459459459459459,0.5405405405405406,0.04054054054054054
