,browserbite-svm-internal,browserbite-nn-internal,browserbite-dt-internal,browserbite-randomforest-internal,crosscheck-svm-internal,crosscheck-nn-internal,crosscheck-dt-internal,crosscheck-randomforest-internal,image_diff_extractor-cnn-internal
0,0.1142857142857142,0.4074074074074074,0.2666666666666666,0.5652173913043478,0.5813953488372093,0.4590163934426229,0.6304347826086957,0.725,0.4666666666666667
1,0.0559284116331096,0.0454545454545454,0.0652173913043478,0.1428571428571428,0.0833333333333333,0.04,0.2631578947368421,0.3939393939393939,0.6666666666666666
2,0.0615835777126099,0.1290322580645161,0.075268817204301,0.0423728813559322,0.1142857142857142,0.0694444444444444,0.1698113207547169,0.6857142857142857,0.38461538461538464
3,0.0496688741721854,0.0927835051546391,0.2096774193548387,0.0,0.2,0.074074074074074,0.3611111111111111,0.5333333333333333,0.03070175438596491
4,0.1349206349206349,0.2352941176470588,0.3793103448275862,0.1428571428571428,0.0909090909090909,0.0,0.425,0.7272727272727273,0.5333333333333333
5,0.0566037735849056,0.1559633027522936,0.3066666666666666,0.3541666666666667,0.0825396825396825,0.0700218818380744,0.4555555555555555,0.7115384615384616,0.03238719068413391
6,0.0500894454382826,0.2,0.0483870967741935,0.0272727272727272,0.25,0.125,0.119047619047619,0.5757575757575758,0.4
7,0.0436893203883495,0.1392405063291139,0.0833333333333333,0.2857142857142857,0.12,0.5,0.25,0.3125,0.189873417721519
8,0.0412371134020618,0.2424242424242424,0.0886075949367088,0.0597014925373134,0.0897435897435897,0.2307692307692307,0.3636363636363636,0.4571428571428571,0.21621621621621623
9,0.0833333333333333,0.2894736842105263,0.1910112359550561,0.2539682539682539,0.348314606741573,0.091644204851752,0.388235294117647,0.625,0.4642857142857143
