,browserbite-svm-internal,browserbite-nn-internal,browserbite-dt-internal,browserbite-randomforest-internal,crosscheck-svm-internal,crosscheck-nn-internal,crosscheck-dt-internal,crosscheck-randomforest-internal,image_diff_extractor-cnn-internal,browserninja1-svm-internal,browserninja1-nn-internal,browserninja1-dt-internal,browserninja1-randomforest-internal
0,0.0597014925373134,0.1641791044776119,0.1791044776119403,0.1492537313432835,0.373134328358209,0.417910447761194,0.1194029850746268,0.4925373134328358,0.1044776119402985,0.4477611940298507,0.5373134328358209,0.4029850746268656,0.4626865671641791
1,0.9615384615384616,0.0769230769230769,0.2692307692307692,0.0769230769230769,0.0769230769230769,0.0384615384615384,0.5384615384615384,0.5,0.1538461538461538,0.5384615384615384,0.5769230769230769,0.3846153846153846,0.5384615384615384
2,0.9130434782608696,0.108695652173913,0.2391304347826087,0.1304347826086956,0.0869565217391304,0.108695652173913,0.4130434782608695,0.5434782608695652,0.108695652173913,0.5869565217391305,0.5434782608695652,0.4347826086956521,0.6521739130434783
3,0.5357142857142857,0.25,0.1785714285714285,0.1785714285714285,0.0357142857142857,0.0714285714285714,0.5357142857142857,0.4642857142857143,1.0,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714
4,0.3695652173913043,0.0869565217391304,0.1304347826086956,0.0217391304347826,0.0217391304347826,0.0,0.3695652173913043,0.3695652173913043,0.1739130434782608,0.3695652173913043,0.3260869565217391,0.4347826086956521,0.34782608695652173
5,0.1348314606741573,0.3820224719101123,0.1910112359550561,0.2359550561797752,0.2921348314606741,0.3595505617977528,0.4943820224719101,0.449438202247191,1.0,0.4943820224719101,0.4943820224719101,0.4943820224719101,0.5168539325842697
6,0.9333333333333332,0.1333333333333333,0.1,0.0333333333333333,0.0666666666666666,0.0666666666666666,0.4666666666666667,0.7333333333333333,0.0666666666666666,0.8333333333333334,0.7,0.5666666666666667,0.8
7,0.782608695652174,0.217391304347826,0.2608695652173913,0.2608695652173913,0.1956521739130435,0.1304347826086956,0.2826086956521739,0.4565217391304347,0.3260869565217391,0.4782608695652174,0.4130434782608695,0.391304347826087,0.5
8,0.6216216216216216,0.2162162162162162,0.027027027027027,0.4324324324324324,0.1891891891891892,0.081081081081081,0.4324324324324324,0.4594594594594595,0.2162162162162162,0.4324324324324324,0.4324324324324324,0.5135135135135135,0.43243243243243246
9,0.0675675675675675,0.1486486486486486,0.1081081081081081,0.027027027027027,0.4189189189189189,0.4459459459459459,0.4594594594594595,0.5405405405405406,0.1756756756756756,0.5135135135135135,0.6081081081081081,0.6891891891891891,0.6351351351351351
